Wierzcholki	Czas
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	0
44	0
46	0
48	0
50	0
52	0
54	0
56	0
58	0
60	0
62	0
64	0
66	1
68	1
70	1
72	1
74	2
76	2
78	2
80	2
82	2
84	2
86	2
88	2
90	3
92	3
94	3
96	3
98	5
100	4
