Wierzcholki	Czas
2	0
4	0
6	0
8	0
10	0
12	0
14	0
16	0
18	0
20	0
22	0
24	0
26	0
28	0
30	0
32	0
34	0
36	0
38	0
40	0
42	1
44	1
46	1
48	3
50	1
52	2
54	2
56	2
58	2
60	3
62	3
64	3
66	4
68	4
70	5
72	6
74	5
76	6
78	6
80	7
82	7
84	8
86	8
88	10
90	10
92	11
94	11
96	12
98	13
100	16
